Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
43544,Baramulla,Kashmir,Baramulla,23,2025-04-25
41700,BAHAWALPUR,Punjab,BAHAWALPUR,41,2025-04-24
41574,RAWALAKOT,Kashmir,RAWALAKOT,26,2025-04-24
41508,DIR,KPK,DIR,26,2025-04-24
41738,TURBAT,Balochistan,TURBAT,43,2025-04-24
41573,MURREE,Punjab,MURREE,23,2025-04-24
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,35,2025-04-24
41562,BANNU,KPK,BANNU,37,2025-04-24
41749,NAWABSHAH,Sindh,NAWABSHAH,46,2025-04-24
41710,NOKKUNDI,Balochistan,NOKKUNDI,37,2025-04-24
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,37,2025-04-24
41780,KARACHI,Sindh,KARACHI,39,2025-04-24
41516,GILGIT,GB,GILGIT,26,2025-04-24
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,32,2025-04-24
41743,DADU,Sindh,DADU,44,2025-04-24
41571,RAWALPINDI,Punjab,RAWALPINDI,34,2025-04-24
41567,Attock,Punjab,Attock,36,2025-04-24
41680,SAHIWAL,Punjab,SAHIWAL,41,2025-04-24
41756,JIWANI,Balochistan,JIWANI,33,2025-04-24
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,33,2025-04-24
41520,ASTORE,GB,ASTORE,19,2025-04-24
43544,Baramulla,Kashmir,Baramulla,25,2025-04-24
41786,MITHI,Sindh,MITHI,44,2025-04-24
41696,KALAT,Balochistan,KALAT,26,2025-04-24
41593,SARGODHA,Punjab,SARGODHA,41,2025-04-24
41697,SIBBI,Balochistan,SIBBI,43,2025-04-24
41675,MULTAN,Punjab,MULTAN,40,2025-04-24
41517,SKARDU,GB,SKARDU,19,2025-04-24
41640,LAHORE,Punjab,LAHORE,40,2025-04-24
41757,GWADAR,Balochistan,GWADAR,34,2025-04-24
41505,HUNZA,GB,HUNZA,17,2025-04-24
41764,HYDERABAD,Sindh,HYDERABAD,44,2025-04-24
41624,D-I-KHAN,KPK,D-I-KHAN,41,2025-04-24
41577,ISLAMABAD,Islamabad,ISLAMABAD,36,2025-04-24
43534,Jammu,Kashmir,Jammu,37,2025-04-24
41598,JHELUM,Punjab,JHELUM,39,2025-04-24
41652,D G KHAN,Punjab,D G KHAN,41,2025-04-24
41535,Abbotabad,KPK,Abbotabad,27,2025-04-24
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,44,2025-04-24
41506,CHITRAL,KPK,CHITRAL,26,2025-04-24
41634,CHAKWAL,Punjab,CHAKWAL,35,2025-04-24
41660,QUETTA,Balochistan,QUETTA,29,2025-04-24
43535,Leh,Kashmir,Leh,4,2025-04-24
41525,MALAM JABBA,KPK,MALAM JABBA,20,2025-04-24
43543,Shopian,Kashmir,Shopian,24,2025-04-24
43541,Pulwama,Kashmir,Pulwama,23,2025-04-24
41630,FAISALABAD,Punjab,FAISALABAD,40,2025-04-24
41783,THATTA,Sindh,THATTA,41,2025-04-24
41724,SUKKUR,Sindh,SUKKUR,43,2025-04-24
43542,Anantnag,Kashmir,Anantnag,24,2025-04-24
41508,DIR,KPK,DIR,25,2025-04-23
41574,RAWALAKOT,Kashmir,RAWALAKOT,25,2025-04-23
41573,MURREE,Punjab,MURREE,23,2025-04-23
41757,GWADAR,Balochistan,GWADAR,40,2025-04-23
41598,JHELUM,Punjab,JHELUM,39,2025-04-23
41675,MULTAN,Punjab,MULTAN,39,2025-04-23
41571,RAWALPINDI,Punjab,RAWALPINDI,35,2025-04-23
41516,GILGIT,GB,GILGIT,23,2025-04-23
41764,HYDERABAD,Sindh,HYDERABAD,41,2025-04-23
43536,Srinagar,Kashmir,Srinagar,23,2025-04-23
41567,Attock,Punjab,Attock,36,2025-04-23
41749,NAWABSHAH,Sindh,NAWABSHAH,43,2025-04-23
41517,SKARDU,GB,SKARDU,18,2025-04-23
41505,HUNZA,GB,HUNZA,16,2025-04-23
41783,THATTA,Sindh,THATTA,40,2025-04-23
41562,BANNU,KPK,BANNU,38,2025-04-23
43542,Anantnag,Kashmir,Anantnag,22,2025-04-23
