Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
41520,ASTORE,GB,ASTORE,31,"24 May, 2025"
41535,Abbotabad,KPK,Abbotabad,33,"24 May, 2025"
43542,Anantnag,Kashmir,Anantnag,33,"24 May, 2025"
41567,Attock,Punjab,Attock,45,"24 May, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,45,"24 May, 2025"
41562,BANNU,KPK,BANNU,41,"24 May, 2025"
43544,Baramulla,Kashmir,Baramulla,32,"24 May, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,40,"24 May, 2025"
41506,CHITRAL,KPK,CHITRAL,38,"24 May, 2025"
41652,D G KHAN,Punjab,D G KHAN,43,"24 May, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,42,"24 May, 2025"
41743,DADU,Sindh,DADU,50,"24 May, 2025"
41508,DIR,KPK,DIR,35,"24 May, 2025"
41630,FAISALABAD,Punjab,FAISALABAD,41,"24 May, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,40,"24 May, 2025"
41516,GILGIT,GB,GILGIT,38,"24 May, 2025"
41757,GWADAR,Balochistan,GWADAR,36,"24 May, 2025"
41505,HUNZA,GB,HUNZA,32,"24 May, 2025"
41764,HYDERABAD,Sindh,HYDERABAD,44,"24 May, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,39,"24 May, 2025"
41598,JHELUM,Punjab,JHELUM,41,"24 May, 2025"
41756,JIWANI,Balochistan,JIWANI,35,"24 May, 2025"
41696,KALAT,Balochistan,KALAT,34,"24 May, 2025"
41780,KARACHI,Sindh,KARACHI,38,"24 May, 2025"
41640,LAHORE,Punjab,LAHORE,40,"24 May, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,29,"24 May, 2025"
41786,MITHI,Sindh,MITHI,45,"24 May, 2025"
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,49,"24 May, 2025"
41675,MULTAN,Punjab,MULTAN,42,"24 May, 2025"
41573,MURREE,Punjab,MURREE,27,"24 May, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,41,"24 May, 2025"
41749,NAWABSHAH,Sindh,NAWABSHAH,49,"24 May, 2025"
41710,NOKKUNDI,Balochistan,NOKKUNDI,45,"24 May, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,41,"24 May, 2025"
43541,Pulwama,Kashmir,Pulwama,33,"24 May, 2025"
41660,QUETTA,Balochistan,QUETTA,39,"24 May, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,30,"24 May, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,38,"24 May, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,42,"24 May, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,36,"24 May, 2025"
41593,SARGODHA,Punjab,SARGODHA,41,"24 May, 2025"
41697,SIBBI,Balochistan,SIBBI,51,"24 May, 2025"
41517,SKARDU,GB,SKARDU,32,"24 May, 2025"
41724,SUKKUR,Sindh,SUKKUR,46,"24 May, 2025"
43543,Shopian,Kashmir,Shopian,34,"24 May, 2025"
41783,THATTA,Sindh,THATTA,38,"24 May, 2025"
41738,TURBAT,Balochistan,TURBAT,43,"24 May, 2025"
41520,ASTORE,GB,ASTORE,30,"23 May, 2025"
41535,Abbotabad,KPK,Abbotabad,36,"23 May, 2025"
43542,Anantnag,Kashmir,Anantnag,34,"23 May, 2025"
41567,Attock,Punjab,Attock,44,"23 May, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,46,"23 May, 2025"
41562,BANNU,KPK,BANNU,43,"23 May, 2025"
